(27, 33, 1)
(154, 249, 189)
(12, 24, 51)
(232, 172, 95)
(120, 122, 93)
(149, 183, 45)
(37, 198, 45)
(28, 26, 71)
(72, 142, 122)
(132, 121, 57)
(7, 0, 12)
(54, 81, 107)
(10, 63, 26)
(206, 51, 100)
(18, 0, 40)
(21, 170, 196)
(173, 211, 199)
(124, 94, 101)
(38, 25, 33)
(20, 27, 30)
(76, 147, 0)
(53, 58, 53)
(71, 17, 89)
(140, 46, 15)
(130, 124, 123)
(12, 45, 9)
(58, 114, 183)
(114, 114, 109)
(178, 42, 121)
(205, 239, 177)
(16, 102, 42)
(35, 76, 66)
(66, 96, 42)
(155, 105, 99)
(245, 255, 58)
(37, 29, 43)
(178, 94, 181)
(140, 139, 119)
(191, 135, 140)
(126, 209, 79)
